iter	RMSE
231	0.4206766751
232	0.4204219361
233	0.4201257943
234	0.419812975
235	0.4194680754
236	0.4191538139
237	0.41884465
238	0.4186447533
239	0.4184528195
240	0.4180186296
241	0.4177586462
242	0.4173711502
243	0.4170397657
244	0.4168096211
245	0.4166015448
246	0.4163719587
247	0.4160394335
248	0.4157887275
249	0.4155863254
250	0.4152464528
251	0.4149266686
252	0.4146378234
253	0.4143776376
254	0.4140566513
255	0.4137051195
256	0.4134729003
257	0.4131159933
258	0.4129461605
259	0.4127033953
260	0.4124427932
261	0.4121559053
262	0.4116949593
263	0.4114700385
264	0.4112374899
265	0.4111181043
266	0.4108442056
267	0.4105239832
268	0.4102792477
269	0.4100713691
270	0.4097795969
271	0.4096128543
272	0.4093623631
273	0.4091194984
274	0.4088938802
275	0.4086635346
276	0.4085010184
277	0.4082761931
278	0.407951537
279	0.4078545657
280	0.4073946365
281	0.4070942623
282	0.4067153592
283	0.4063667964
284	0.4061788479
285	0.4058904565
286	0.4056278084
287	0.4053624105
288	0.405135396
289	0.4049409525
290	0.4047042974
291	0.4044894024
292	0.4043535672
293	0.4041040349
294	0.4037428056
295	0.4035743448
296	0.4031221588
297	0.4028064564
298	0.4026235854
299	0.4023410757
300	0.4020581358
301	0.401828806
302	0.4014947116
303	0.4012072909
304	0.4009425961
305	0.4006858877
306	0.4004332179
307	0.4001625426
308	0.3998676224
309	0.399657423
310	0.3992343588
311	0.3990462417
312	0.3987995828
313	0.3986166011
314	0.3983747659
315	0.3981193838
316	0.397869286
317	0.3977238914
318	0.3974485626
319	0.3972425993
320	0.3971173973
321	0.3969349704
322	0.3967223723
323	0.3965121838
324	0.3963033148
325	0.3960392187
326	0.3957394803
327	0.3955658501
328	0.3952084309
329	0.3949952193
330	0.3948053316
331	0.3945482311
332	0.3944020079
333	0.3941824278
334	0.393945338
335	0.3937830962
336	0.3935573716
337	0.3932898007
338	0.3930338414
339	0.3928508171
340	0.3925511692
341	0.3923782133
342	0.3922490912
343	0.3919882436
344	0.3917767723
345	0.3915442298
346	0.3913965507
347	0.3912216844
348	0.3910234112
349	0.3907858603
350	0.3906313759
351	0.3904244485
352	0.3902213015
353	0.3899904733
354	0.3897704567
355	0.3895305351
356	0.3893504773
357	0.3891921335
358	0.3888748647
359	0.388633559
360	0.3883990119
361	0.3881820258
362	0.3880292564
363	0.3878113018
364	0.3875885128
365	0.3874005494
366	0.3872148502
367	0.3868375444
368	0.3866048426
369	0.3864391481
370	0.3861331457
371	0.3859289488
372	0.3858195921
373	0.3856406183
374	0.3854808104
375	0.3853032772
376	0.3850081102
377	0.38472053
378	0.3845827201
379	0.3844422404
380	0.3842875546
381	0.383992575
382	0.3838597427
383	0.3837179594
384	0.3834551964
385	0.3833146211
386	0.3831413353
387	0.3829004952
388	0.3827173303
389	0.3824783313
390	0.3823565985
391	0.3821803452
392	0.3820553177
393	0.3819392375
394	0.3817410975
395	0.3815778548
396	0.3813789602
397	0.3811723921
398	0.3808559439
399	0.3806319202
400	0.3803800761
401	0.3802540898
402	0.380173073
403	0.3800288352
404	0.3798485464
405	0.3795231395
406	0.379319099
407	0.3791276003
408	0.3789756352
409	0.378869578
410	0.3787114373
411	0.3785781161
412	0.3784065446
413	0.3781510948
414	0.3779974436
415	0.3779011485
416	0.3777751417
417	0.377577942
418	0.3774225195
419	0.3771637555
420	0.3768804476
421	0.3766187491
422	0.3764559576
423	0.3762634965
424	0.3761153765
425	0.3759320098
426	0.3757507295
427	0.3755583902
428	0.3753844378
429	0.3751937495
430	0.3750548234
431	0.3749690324
432	0.3748596996
433	0.3747139638
434	0.3745346838
435	0.3744241871
436	0.3742962089
437	0.3741422437
438	0.3739703225
439	0.373773632
440	0.3736370409
441	0.3735169662
442	0.3733480409
443	0.3731901895
444	0.3730339739
445	0.3729275237
446	0.372729424
447	0.3725592151
448	0.3722895186
449	0.3721296573
450	0.3717696298
451	0.3716144241
452	0.3714971123
453	0.3712860679
454	0.3711195656
455	0.3709621643
456	0.3707040185
457	0.3704566817
458	0.3703225078
459	0.3700779925
460	0.3699138361
461	0.3697342992
462	0.3694875254
463	0.369389769
464	0.3692816884
465	0.3690239927
466	0.3688661739
467	0.3687231815
468	0.3685807558
469	0.3684137228
470	0.3681768378
471	0.3680231388
472	0.3678877816
473	0.3678324888
474	0.3677220508
475	0.3676091787
476	0.3674479723
477	0.3672845268
478	0.3671527045
479	0.3669466895
480	0.3668455952
481	0.366557367
482	0.3664267788
483	0.3663424732
484	0.366151482
485	0.3659449551
486	0.365713655
487	0.3655327812
488	0.3654657559
489	0.3652959941
490	0.3651749908
491	0.3649021027
492	0.3646903676
493	0.3645746894
494	0.3642594115
495	0.364133423
496	0.3639798422
497	0.3638314768
498	0.363676858
499	0.3634860308
500	0.3633580165
501	0.3632137016
502	0.36303191
503	0.3628306307
504	0.3627176372
505	0.3625479473
506	0.3624587866
507	0.3622892374
508	0.3621194998
509	0.361984219
510	0.3619008918
511	0.3617635987
512	0.3614740024
513	0.3612250647
514	0.3610316634
515	0.3608545336
516	0.3606842862
517	0.3605705621
518	0.3604308751
519	0.3602228236
520	0.359959141
521	0.3598500133
522	0.3596858207
523	0.3595081323
524	0.3592861511
525	0.3591812455
526	0.3590417709
527	0.3589102001
528	0.358757215
529	0.3586235062
530	0.3584302855
531	0.3583408035
532	0.3581320263
533	0.3580655479
534	0.357938798
535	0.3577935163
536	0.3576681116
537	0.3575461609
538	0.3572898552
539	0.3571829619
540	0.3570738252
541	0.3568642125
542	0.3567277461
543	0.3565147082
544	0.3564122165
545	0.3563057937
546	0.3561225579
547	0.3560095356
548	0.3558401376
549	0.3556913545
550	0.3555619555
551	0.355400979
552	0.3551796537
553	0.3549870002
554	0.3549072469
555	0.354722913
556	0.3545924102
557	0.3544360775
558	0.3543554638
559	0.3542307968
560	0.3541070823
561	0.3539250574
562	0.353815881
563	0.3537163064
564	0.3536074198
565	0.3535078154
566	0.3533902757
567	0.353278704
568	0.3531040003
569	0.3530013664
570	0.3528859217
571	0.3527917238
572	0.352652449
573	0.3525565668
574	0.3524744779
575	0.352327528
576	0.3521995066
577	0.3520311071
578	0.35189237
579	0.3517772614
580	0.3516499997
581	0.3514966751
582	0.3514031082
583	0.3512274028
584	0.3510853164
585	0.3509060832
586	0.3508165865
587	0.3507040806
588	0.3505944949
589	0.3504513524
590	0.3503275782
591	0.3501348208
592	0.3500124135
593	0.3498052694
594	0.3496248839
595	0.3494688312
596	0.3493682386
597	0.3492185462
598	0.3491029591
599	0.3489711506
600	0.3488402445
601	0.3486957377
602	0.3485488113
603	0.348400382
604	0.3482869704
605	0.3481712168
606	0.3480506187
607	0.3479386047
608	0.3477353701
609	0.3475505857
610	0.3474800192
611	0.3473586794
612	0.3472312878
613	0.3471104932
614	0.346986712
615	0.3468539366
616	0.3465709248
617	0.3464632796
618	0.3462817504
619	0.3461457286
620	0.3459920163
621	0.345818879
622	0.3456869127
623	0.3455678034
624	0.345492894
625	0.3453751213
626	0.3452098329
627	0.3451110113
628	0.3449872964
629	0.3448207614
630	0.3446668667
631	0.3445585768
632	0.3444145752
633	0.344164584
634	0.3440242883
635	0.3439337386
636	0.3437802652
637	0.3436817355
638	0.3436093455
639	0.3434626661
640	0.343289044
641	0.3431397783
642	0.343032103
643	0.3429229428
644	0.3427731535
645	0.3426968088
646	0.3425857011
647	0.3424057303
648	0.3423444353
649	0.3422455826
650	0.3420671013
651	0.3419855637
652	0.3418358771
653	0.34163322
654	0.3415398607
655	0.3414289164
656	0.3412414011
657	0.3411606019
658	0.3410653931
659	0.3409776491
660	0.3409374938
661	0.3408383648
662	0.3406930226
663	0.3405282678
664	0.340410386
665	0.3402912995
666	0.3401147022
667	0.339893041
668	0.3398011133
669	0.3397022736
670	0.3395668172
671	0.3394642606
672	0.3393304601
673	0.3391866933
674	0.3390814066
675	0.3389924669
676	0.3388797798
677	0.3386312171
678	0.3385710081
679	0.3385007836
680	0.3384089117
681	0.3382822904
682	0.3381702198
683	0.3380240587
684	0.3378450297
685	0.3376745209
686	0.337546306
687	0.3374545921
688	0.3372902185
689	0.3371160486
690	0.3369874175
691	0.3369129029
692	0.3368358744
693	0.3367657406
694	0.3366553915
695	0.3365346942
696	0.3364175534
697	0.3362311039
698	0.3360524991
699	0.3359838493
700	0.335861085
701	0.3358197476
702	0.3357230014
703	0.3356226076
704	0.3355553416
705	0.3354321098
706	0.3352266492
707	0.3351053441
708	0.3349442875
709	0.3348319251
710	0.3347102254
711	0.3346265285
712	0.3344731334
713	0.3343394883
714	0.3342225183
715	0.3340641927
716	0.3339391853
717	0.3338227078
718	0.3336522598
719	0.3335209717
720	0.3333060966
721	0.333154887
722	0.3330575916
723	0.3329272705
724	0.332799334
725	0.3326455481
726	0.3325213067
727	0.3323768853
728	0.3323105347
729	0.3321617857
730	0.3319781856
731	0.3318415567
732	0.3317866035
733	0.3316434979
734	0.3315473202
735	0.3314672759
736	0.3313886205
737	0.3312933803
738	0.331129079
739	0.3310452979
740	0.3309304604
741	0.3307540176
742	0.3306416636
743	0.3305291908
744	0.3304100653
745	0.3303169685
746	0.3302455474
747	0.33009682
748	0.3299937474
749	0.3297882383
750	0.3296816344
751	0.3296123803
752	0.3295148443
753	0.3293528849
754	0.3292878477
755	0.3291786342
756	0.3290711348
757	0.328918315
758	0.3287419729
759	0.3286102507
760	0.3285311525
761	0.3283476147
762	0.3282505006
763	0.3281550666
764	0.328030682
765	0.3279433844
766	0.3278094924
767	0.327664646
768	0.327537078
769	0.3273933752
770	0.3272171207
771	0.3270683747
772	0.3270065356
773	0.3268386535
774	0.3267323721
775	0.3266684693
776	0.3265837863
777	0.3263407133
778	0.3262415235
779	0.3260980396
780	0.3258909135
781	0.3256826627
782	0.325533706
783	0.3254169775
784	0.3253236707
785	0.3252311619
786	0.3251558228
787	0.3250891581
788	0.3249823995
789	0.3248382295
790	0.3246781643
791	0.32461757
792	0.3245715494
793	0.3243768723
794	0.3242556626
795	0.3242011703
796	0.3239789148
797	0.323867219
798	0.3237858263
799	0.3235863954
800	0.3234758536
801	0.3233693862
802	0.3232399681
803	0.3231565904
804	0.3230660899
805	0.3229779123
806	0.3229278397
807	0.3228167845
808	0.3227340753
809	0.3226636207
810	0.3225728445
811	0.3225182607
812	0.3224487723
813	0.3223273316
814	0.322203232
815	0.3220731339
816	0.3219875284
817	0.32192299
818	0.3218164364
819	0.3217636449
820	0.3216124233
821	0.3214888895
822	0.3213568088
823	0.321176375
824	0.3210751579
825	0.3209800508
826	0.3208639143
827	0.3207862222
828	0.3207097851
829	0.320563361
830	0.3204180373
831	0.3202515879
832	0.3201491926
833	0.3200100395
834	0.3198975571
835	0.3197826889
836	0.3196594947
837	0.3195654456
838	0.3194168566
839	0.3192792617
840	0.3191333996
841	0.3190085962
842	0.3189327574
843	0.3187234368
844	0.3186426559
845	0.3185543991
846	0.3184223337
847	0.3182770918
848	0.3181592771
849	0.3180664918
850	0.3179615751
851	0.3178400232
852	0.3177224865
853	0.3175531963
854	0.3174569154
855	0.3173818566
856	0.3172820469
857	0.3171951758
858	0.3170897
859	0.3170415223
860	0.3168990387
861	0.3167635052
862	0.3165983822
863	0.3165217447
864	0.3164170959
865	0.3163243881
866	0.3161886659
867	0.3161159545
868	0.3160100239
869	0.3158578188
870	0.3156903255
871	0.315517048
872	0.3153699043
873	0.3152769939
874	0.3152088235
875	0.3151203421
876	0.3150314675
877	0.314894277
878	0.3147908258
879	0.3147151854
880	0.3145600845
881	0.3144174045
882	0.3143301188
883	0.3142222305
884	0.3141429277
885	0.3140252136
886	0.313925195
887	0.3138246465
888	0.3137364223
889	0.3136896261
890	0.3136168935
891	0.3135229773
892	0.3134103802
893	0.3133480169
894	0.3132786362
895	0.3132011007
896	0.3130720599
897	0.3130148916
898	0.3128721628
899	0.3127887918
900	0.3126820821
901	0.3125890907
902	0.3125398105
903	0.3124697962
904	0.3123529799
905	0.3122542637
906	0.3121153256
907	0.3120002255
908	0.3118982991
909	0.3118671152
910	0.3118155388
911	0.3117300171
912	0.3116304817
913	0.3115333133
914	0.3114090713
915	0.3113005114
916	0.3112190213
917	0.3111322542
918	0.3110663399
919	0.3109752296
920	0.3108478064
921	0.3107733575
922	0.3107146676
923	0.3106206142
924	0.3105275658
925	0.3104384139
926	0.3102607165
927	0.3102208047
928	0.3100864841
929	0.310034175
930	0.3099323688
931	0.3096933182
932	0.3096543526
933	0.3095283009
934	0.3094166593
935	0.3093127576
936	0.3091879584
937	0.3090671487
938	0.3089254508
939	0.3088434363
940	0.3087913752
941	0.3086611709
942	0.3085004014
943	0.3084119351
944	0.3082724716
945	0.3081910648
946	0.3081288242
947	0.3080520553
948	0.307925924
949	0.3078613928
950	0.3075458177
951	0.3074660524
952	0.3073061856
953	0.3072344441
954	0.3070913042
955	0.306997773
956	0.3068405662
957	0.3067459254
958	0.3066587225
959	0.3065456209
960	0.3063762799
961	0.3063132652
962	0.3062227631
963	0.3061312093
964	0.3060332397
965	0.3059069041
966	0.3058180307
967	0.3057189808
968	0.3056134649
969	0.3054418659
970	0.3053656505
971	0.3052275326
972	0.30510079
973	0.3049747831
974	0.3048575014
975	0.3047690282
976	0.3046727496
977	0.3046449302
978	0.304558559
979	0.3044440586
980	0.3043600042
981	0.3043053599
982	0.3042296477
983	0.3041146003
984	0.3039818983
985	0.3039220989
986	0.303859433
987	0.3037962813
988	0.303729032
989	0.3036369934
990	0.3035131251
991	0.3033797669
992	0.303297727
993	0.303192008
994	0.3030792899
995	0.3029113939
996	0.3027967294
997	0.3027117062
998	0.3026299912
999	0.3025413773
